State,Name,Location
Lagos,Paelon Memorial Clinic- ikeja,"9, Ajao Road Off Adeniyi Jones, Ikeja"
Lagos,Afrimed Specialist Hospital,Gbagada
Lagos,Healing Stripes Hospital,"Oniru Royal Estate, 6A/B Prince Alaba Oniru Way, Victoria Island Extension"
Lagos,First City Hospital,"17, Bamidele Street, Osapa London, Lekki, Ibeju-Lekki"
Lagos,Pediatric Partners Hospital,Lagos Island
Lagos,R-Jolad Plus,Gbagada
Lagos,Avon Medical Services,Surulere
Lagos,Budo Specialist Hospital,Lekki-Ajah
Lagos,Doren Specialist Hospital,Lekki-Ajah
Lagos,Emel Hospital,"Z Close, 21 Road, Festac Town"
Lagos,Golden Cross Infirmary (Hospital & Maternity),"2nd Avenue, 22 Road, Festac Town, Lagos"
Lagos,Lifeline Children Hospital - Lekki,Lekki-Ajah
Lagos,Lifeline Children Hospital - Surulere,Surulere
Lagos,Outreach Women & Children'S Hopital - Festac,"4th Avenue by 3rd Avenue Junction, Fectac Town, Lagos"
Lagos,Paelon Memorial Clinic- v/i,Victoria-Island
Lagos,Renaissance Medical Services Ltd,Victoria-Island
Lagos,Vedic Lifecare,"Block 105 Olabanji Olajide Street, Lekki phase 1"
Lagos,Ameso Specialist Hospital,"7, Jumat Olukoya Street, Ogudu, Lagos."
Lagos,Aniyun Hospital Ltd,"3, Femi Aderibigbe Close, Ifako, Gbagada, Lagos"
Lagos,Araba Medical Centre,Abule-Egba
Lagos,Blue Cross Hospital,Ogba
Lagos,BRONK PREMIERE HOSPITAL,"Oshota b/stop, After Elepe b/stop, Ijede Road, Ikorodu, Lagos."
Lagos,Crystal Specialist Hospital,"148/150 AKOWONJO ROAD, AKOWONJO, EGBEDA, LAGOS,"
Lagos,Divine Medical Centre,"53, Norman Williams Street, Off Ribadu Road, South West, Ikoyi, Lagos."
Lagos,Eko Hospital,Ikeja
Lagos,Faith Care Hospital,Amuwo-Odofin
Lagos,Faith City Hospital- Ajao estate,"16, Asa-Afariogun St., Off Osolo Way, Ajao Estate, Lagos"
Lagos,Faleti Medical Centre,Ajeromi-Ifelodun
Lagos,First Dominican Hospital,"27, Aljahi Masha Road, By Masha B/stop, Surulere, Lagos."
Lagos,First Graceland Hospitals- Ajah,Lekki-Ajah
Lagos,Germaine Health Centre,Lekki-Ajah
